want 1134 MSA files (0 already present)
archive 107.2 GB, 48 workers
  [m13] + 6lbe_b.npz (239 KB)
  [m46] + 8e13_c.npz (1 KB)
  [m40] + 6jto_c.npz (1 KB)
  [m30] + 3mr9_a.npz (1012 KB)
  [m2] + 8gon_c.npz (1 KB)
  [m14] + 2fwo_a.npz (966 KB)
  [m9] + 7yg3_c.npz (1 KB)
  [m46] + 1xr8_c.npz (1 KB)
  [m7] + 7p49_i.npz (1 KB)
  [m4] + 3quk_a.npz (982 KB)
  [m19] + 5eo0_c.npz (1 KB)
  [m31] + 7alo_a.npz (1011 KB)
  [m20] + 7x1c_a.npz (998 KB)
  [m30] + 7lfl_c.npz (1 KB)
  [m27] + 4jqx_c.npz (1 KB)
  [m36] + 6l9l_a.npz (638 KB)
  [m22] + 6j2e_c.npz (1 KB)
  [m20] + 4hx1_c.npz (1 KB)
  [m25] + 7s8r_c.npz (1 KB)
  [m21] + 3tjh_b.npz (1 KB)
  [m31] + 6avf_e.npz (1255 KB)
  [m31] + 3tie_e.npz (1 KB)
  [m10] + 4no5_c.npz (1 KB)
  [m36] + 6uzm_c.npz (1 KB)
  [m32] + 3l3g_c.npz (1 KB)
  [m42] + 7bh8_a.npz (951 KB)
  [m26] + 6vqe_c.npz (1 KB)
  [m0] + 8d5n_a.npz (1002 KB)
  [m8] + 3p4o_a.npz (987 KB)
  [m29] + 7mj6_c.npz (1 KB)
  [m9] + 1bz9_a.npz (983 KB)
  [m34] + 7su9_c.npz (1060 KB)
  [m23] + 6jq2_b.npz (1 KB)
  [m45] + 3skm_c.npz (1 KB)
  [m38] + 4pgb_c.npz (1 KB)
  [m13] + 2zsw_i.npz (1 KB)
  [m42] + 3pqy_a.npz (967 KB)
  [m35] + 3x11_a.npz (963 KB)
  [m44] + 5ts1_a.npz (970 KB)
  [m5] + 2ol3_c.npz (990 KB)
  [m18] + 7kgq_c.npz (1 KB)
  [m27] + 4qrs_a.npz (985 KB)
  [m46] + 7lfz_c.npz (1 KB)
  [m27] + 3vrj_c.npz (1 KB)
  [m47] + 5eu4_c.npz (1 KB)
  [m4] + 2v2x_c.npz (1 KB)
  [m27] + 3fqu_c.npz (1 KB)
  [m45] + 7x1b_c.npz (1 KB)
  [m10] + 7xf3_a.npz (983 KB)
  [m19] + 4n5e_d.npz (1 KB)
  [m10] + 3bo8_c.npz (1 KB)
  [m25] + 1im9_a.npz (1002 KB)
  [m47] + 7jyx_c.npz (1 KB)
  [m15] + 5yxu_e.npz (980 KB)
  [m43] + 3i6g_a.npz (976 KB)
  [m18] + 7dyn_c.npz (1 KB)
  [m38] + 1fg2_c.npz (1 KB)
  [m8] + 4jfq_c.npz (1 KB)
  [m22] + 5yxn_d.npz (249 KB)
  [m40] + 2ypk_a.npz (963 KB)
  [m32] + 5ddh_c.npz (1 KB)
  [m12] + 6ujq_a.npz (975 KB)
  [m39] + 5hhm_c.npz (1 KB)
  [m15] + 2x4s_c.npz (1 KB)
  [m37] + 2x4o_c.npz (1 KB)
  [m24] + 3vfu_c.npz (1 KB)
  [m33] + 4gkn_c.npz (1 KB)
  [m23] + 7n2n_a.npz (1 KB)
  [m46] + 7cir_c.npz (1 KB)
  [m3] + 6j2f_c.npz (1 KB)
  [m6] + 5u98_c.npz (1 KB)
  [m38] + 6nf7_b.npz (249 KB)
  [m45] + 6mt5_c.npz (1 KB)
  [m2] + 7uc5_a.npz (1000 KB)
  [m21] + 6aee_a.npz (942 KB)
  [m6] + 8elg_a.npz (1011 KB)
  [m9] + 4zus_c.npz (1 KB)
  [m15] + 2nx5_c.npz (1 KB)
  [m13] + 5hhq_c.npz (1 KB)
  [m43] + 7dc6_b.npz (258 KB)
  [m6] + 3e3q_a.npz (613 KB)
  [m18] + 6vmc_e.npz (1 KB)
  [m17] + 4uq3_e.npz (1 KB)
  [m22] + 3ery_a.npz (633 KB)
  [m38] + 1hhg_c.npz (1 KB)
  [m25] + 6g3k_c.npz (1 KB)
  [m26] + 7p4b_i.npz (1 KB)
  [m45] + 5xmm_a.npz (1010 KB)
  [m10] + 3mrj_c.npz (1 KB)
  [m6] + 6vb2_b.npz (247 KB)
  [m32] + 3kpl_a.npz (968 KB)
  [m27] + 4huw_i.npz (1 KB)
  [m43] + 6z9v_c.npz (1 KB)
  [m7] + 4g42_e.npz (1 KB)
  [m43] + 7n1f_e.npz (1 KB)
  [m47] + 1kjv_c.npz (1 KB)
  [m45] + 5jwe_i.npz (1 KB)
  [m46] + 7wj3_c.npz (1 KB)
  [m43] + 1s9x_c.npz (1 KB)
  [m14] + 3rwd_c.npz (1 KB)
  [m15] + 3mri_c.npz (1 KB)
  [m35] + 3i6l_c.npz (1 KB)
  [m36] + 3e6f_a.npz (980 KB)
  [m16] + 6uzq_c.npz (1 KB)
  [m41] + 3bp7_c.npz (1 KB)
  [m7] + 7x00_c.npz (1 KB)
  [m39] + 5t6w_c.npz (1 KB)
  [m37] + 5ylx_c.npz (1 KB)
  [m4] + 7um2_a.npz (1252 KB)
  [m11] + 1kj3_a.npz (996 KB)
  [m42] + 7s8q_c.npz (1 KB)
  [m11] + 5eot_c.npz (1 KB)
  [m26] + 6ewc_c.npz (1 KB)
  [m24] + 5enw_c.npz (1 KB)
  [m13] + 4k7f_c.npz (1 KB)
  [m18] + 4nqv_a.npz (968 KB)
  [m23] + 4wdi_c.npz (1 KB)
  [m22] + 2gtw_c.npz (1 KB)
  [m20] + 6a2b_b.npz (82 KB)
  [m19] + 4n0c_b.npz (1 KB)
  [m47] + 8u9g_e.npz (1 KB)
  [m17] + 7zuc_c.npz (1 KB)
  [m43] + 5npz_a.npz (962 KB)
  [m39] + 4o2f_c.npz (1 KB)
  [m34] + 6zky_a.npz (950 KB)
  [m27] + 6wl3_b.npz (1 KB)
  [m31] + 7q99_c.npz (1 KB)
  [m6] + 1wbx_c.npz (1 KB)
  [m20] + 3fom_a.npz (976 KB)
  [m3] + 2hjk_c.npz (1 KB)
  [m27] + 6y29_c.npz (1 KB)
  [m11] + 1s7u_c.npz (1 KB)
  [m12] + 7em9_c.npz (1 KB)
  [m12] + 4cvx_c.npz (1 KB)
  [m6] + 6vqz_e.npz (1 KB)
  [m40] + 7jyu_c.npz (1 KB)
  [m7] + 6jtp_c.npz (1 KB)
  [m30] + 4d0d_a.npz (984 KB)
